Date,AAPL,MSFT,WMT,NKE,MCD,DIS
2018-08-02,202.4177,104.8557,86.0263,77.4048,149.8819,110.5313
2018-08-03,203.0033,105.3138,86.8404,77.4934,150.6535,111.845
2018-08-06,204.0574,105.4015,86.9082,78.2512,151.1454,113.6586
2018-08-07,202.1444,106.1326,87.0051,79.255,150.4895,114.2664
2018-08-08,202.2811,106.7272,87.2765,79.2255,153.2671,111.7371
2018-08-09,203.872,106.9027,86.7696,79.9735,153.6336,111.9136
2018-08-10,203.2647,106.2496,87.9102,79.4519,153.0356,110.4627
2018-08-13,204.5771,105.4795,87.3837,78.8811,152.5148,109.9137
2018-08-14,205.4391,106.7954,88.5633,78.8712,154.8873,110.5313
2018-08-15,205.919,105.3472,87.9492,78.3102,154.193,110.6294
2018-08-16,208.9357,105.3277,96.1572,78.7826,155.9772,110.2666
2018-08-17,213.1081,105.269,95.3871,78.4874,155.4178,110.2666
2018-08-20,211.0317,104.5742,93.5837,80.8789,155.9289,109.7863
2018-08-21,210.6203,103.7033,93.6616,81.6367,155.3117,110.1784
2018-08-22,210.6302,104.7601,93.262,81.3316,154.8391,109.7373
2018-08-23,211.0611,105.2494,92.7843,81.5974,153.3925,109.7961
2018-08-24,211.7173,106.0713,92.5601,81.1446,153.7108,109.7275
2018-08-27,213.4607,107.2456,92.1604,81.3415,154.7716,110.1196
2018-08-28,215.1846,107.8914,93.6519,81.2726,155.8904,110.3647
2018-08-29,218.3972,109.6136,93.2327,81.4793,157.3081,110.2372
2018-08-30,220.405,109.5451,93.6811,80.1113,157.0091,109.7177
2018-08-31,222.9516,109.9169,93.4472,81.0979,157.4361,109.8157
2018-09-04,223.6666,109.3102,92.9598,78.5327,156.9412,108.6687
2018-09-05,222.2072,106.1594,94.1881,78.8484,158.4163,107.708
2018-09-06,218.5147,106.404,94.0223,79.322,158.9015,108.0903
2018-09-07,216.7517,105.8854,93.4179,79.2233,159.0567,108.7864
2018-09-10,213.8427,107.0303,94.461,80.9992,160.1922,108.5021
2018-09-11,219.2493,108.8503,94.2076,81.5221,159.7555,107.4433
2018-09-12,216.5264,109.3102,93.5544,81.8871,159.8719,107.3061
2018-09-13,221.7567,110.4845,92.7258,82.3508,157.6011,108.4923
2018-09-14,219.2395,110.9346,92.2092,82.3706,156.0871,107.11
2018-09-17,213.402,109.731,92.4334,82.1436,153.4669,107.208
2018-09-18,213.7546,110.778,93.028,84.1168,153.1079,107.3747
2018-09-19,213.8819,109.3004,92.8428,83.298,154.4762,107.6296
2018-09-20,215.5078,111.1303,93.34,84.2254,156.0386,109.4236
2018-09-21,213.1865,111.8055,93.4862,84.403,160.4154,108.2276
2018-09-24,216.2522,112.2066,92.5308,83.1401,158.4842,110.5509
2018-09-25,217.6234,111.9914,92.7063,83.6531,161.4926,111.394
2018-09-26,215.8898,111.5315,92.2092,82.5778,160.8618,112.9429
